placa,descricao
6338-NFX,PEUGEOT 206 1.4 PRESENC - PRETA - 05/06 - APROPRIACAO INDEVITA
4213-NGU,FIAT/FIORINO - BRANCA - 07/07 - POSSIVEL DOBRA RODANDO EM ANAPOLIS
1454-JEC,VW GOL 1000 ANO 95/95 COR BRANCA - CONDUTOR ARMADO CONFORME VIDEO
S/PLACA,MOTONETA BRANDY HERO 65 CC - ANO 95 SEM PLACA - Furto Morada Nova
4C38-FVC,HONDA/CG 125 CARGO
9671-JHE,FIAT UNO WAY DE COR BRANCA 2013 CONDUTOR POSSIVELMENTE ARMADO
4J46-OGM,HONDA/CG 150 FAN ESI PRATA/1069 ANO 11/11 (ART.171 DATA:22/05)
3F52-HAX,HONDA / CG 150 TITAN VERM/5591 ANO 11/11 (ART.157 DATA:03/05)
4I55-NWB,FORD FIESTA SEDAN 1.6 FLEX VERM/4437 ANO 10/11 (ART.168 DATA:01/04)
5C14-QCI,VW GOL COR CINZA 20/21 FUGIU DE UMA ABORDAGEM DA PRF E ENTROU NA CIDADE
0F65-ONJ,CHEVROLET COBALT LTZ PRETA/1950 ANO 13/13 (ART.168 DATA:16/06)
0D81-KEH,HONDA / C 100 BIZ ES VERDE/5527 ANO 01/01 (ART.155 DATA:04/06)
1221-NVT,HONDA/CG 150 FAN ESI (ABADIANIA) VERM/0507 ANO 11/11 (ART.155 DATA:15/06)
9963-KEP,HONDA CG 125 TITAN KS (PRATA) TEVE SUA PLACA FURTADA NA DATA 05/07 BAIRRO JADIM DAS AMERICAS
8805-OTQ,HONDA/ CG 125 FAN ES COR PRETA 2014 POSSIVEL DOBRA RODANDO EM ANAPOLIS (PLACA DO PARA)
9406-NGK,YAMAHA FAZER PRETA 07/07 INDIVIDUO POSSIVELMENTE ARMADO
4D06-SGX,CITROEN C3 DE COR BRANCA 23/24 LEVADO DE 168 NO DF - RODANDO REGIAO DO PARQUE BRASILIA
7727-KDO,VW/PARATI 16V BRANCA 98/98 - CARATER RODOU PELA PEDRO LUDOVICO
2281-JGW,VW/GOL 1.0 PRATA 09/09 VEICULO LEVADO POR DIVIDA DE DROGA (LEVADO DE 168)
